
,8,8.15,8.3,8.45,9,9.15,9.3,9.45,10,10.15,10.3,10.45,11,11.15,11.3,11.45,12,12.15,12.3,12.45,13,13.15,13.3,13.45,14,14.15,14.3,14.45,15,15.15,15.3,15.45,16,16.15,16.3,16.45,17,17.15,17.3,17.45,18,18.15,18.3,18.45,19,19.15
,,,,,,sci,p6,,,,,,soc,p6,,,,,รวม,,,math,p6,,,,,,,eng,p6,,,,,,thai,p6,,,,,,,,
,,,,,,soc,p6,,,,,sci,p6,,,,,,,,,,,p6,,,,,,thai,p6,,,,,eng,p6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,math,p6,,,,,,,,,,,,,,,,,,,,,,


,,,,,,,,,,,chem,m5,,,,eng,lv6,,,,,,,,,,,math,m5,,,,,,phy,m5,,,,,,,,,,
,,,,,,,,,,math,m4,,,,,,,,,,,eng,lv7,,,,,phy,m4,,,,,,chem,m4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,math,p3,,,,eng,p3,,,,sci,p3,,,,,,,,,,,,,,,,,,,,,,,,gifted,m1,,,gifted ,m1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gifted ,m2,,,gifted,m1,

,,,,,sci,p4,,,,math,p4,,,,eng,p4,,,,,,thai ,p4,,,soc,p4,,,,,,,,,,,,,,,,,,,

,,,,,eng,p2,,,thai,p1-2,,,,math,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,thai ,p5,,,soc,p5,,,,,,eng,p5,,,,,sci,p5,,,math,p5,,,,,,,,,,,


,,,,,,,,,,,,,,,,,,,,,sci2,m3,,,,,,,,,eng,m3,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,soc,m2,,,thai ,m2,,,,,eng,lv4,,,,,,,,,,,,math,m1,,,,,,math,m2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,eng,lv5,,,,,,sci,m2,,,,,,sci,m1,,,,,,,,
,,,,,,,thai ,m1,,,soc,m1,,,,,,,,,,,,,,,,,,sci,m2,,,,,,sci,m1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,รวม,,,math,p6,,,,,sci,p6,,,,,,,,soc,p6,,,,,eng,p6,,,,,,thai,p6,,,,,,,,
