Timestamp,ประเมินพี่,น้องเรียนอยู่ชั้น,อยากเรียนต่อกับพี่เค้าแค่ไหน,น้องเรียนที่นี่เทอมนี้กี่วิชา,น้องเรียนที่ Super Genius มานานยัง,เรียนกับพี่เค้าตรงกับที่โรงเรียนไหม (ดีมาก=4 ไม่ดีเลย=1),เรียนรู้เรื่องไหม (ดีมาก=4 ไม่ดีเลย=1),เรียนสนุกไหม (สนุกมาก=4 น่าเบื่อสุดๆ=1),ชีทหรือหนังสือพี่เค้าดีไหม (ตอบได้หลายข้อ),เสียงพี่เค้าดังเหมาะสมไหม,"พี่เค้าเอาใจใส่เราดีไหม (ดีมาก=4 , ไม่สนใจเราเลย=1)","รวมๆแล้วพี่เค้าสอนดีไหม (ดีมาก=4 , ไม่ดีเลย=1)",พี่เค้าสอนเร็วไหม,"ความรู้ที่ได้จากพี่เค้าเยอะไหม (ได้เยอะมาก=4 , ไม่ได้เลย =1)",สนิทกับพี่เค้าไหม,พี่เค้าเก่งไหม มีเทคนิค หรือการอธิบาย การยกตัวอย่างเป็นยังไงบ้าง,ข้อเสียของพี่เค้าคือไร จัดเต็มเลยครับ เต็มที่
8/27/2016 11:00:05,พี่อาร์ม (ฟิสิกส์ม.4-5),ม.5,ก็ดีนะ,2,นี่เทอมแรก,3,3,3,โจทย์น้อยไป,ดังฟังชัดดี,3,3,พอดี,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ไม่มีค่ะ ออกนอกเรื่องดีไม่ง่วง
9/12/2016 12:39:04,พี่อาร์ม (ฟิสิกส์ม.4-5),ม.4,ก็ดีนะ,4,ปีกว่าละ,4,3,3,โจทย์ง่ายไป,เบาไปหน่อย,4,3,สอนช้า,3,สนิท คุยเล่นได้สบายๆ,กลางๆ ยกตัวอย่างเข้าใจบ้าง ไม่เข้าใจบ้าง อธิบายโอเค,อ่านไม่ค่อยออก พูดเบา
9/12/2016 15:52:54,พี่อาร์ม (ฟิสิกส์ม.4-5),ม.4,ก็ดีนะ,1,นี่เทอมแรก,3,4,4,"โจทย์ง่ายไป, โจทย์น้อยไป",ดังฟังชัดดี,4,3,สอนเร็ว,3,สนิท คุยเล่นได้สบายๆ,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,เขียนผิดบ่อย บางครั้งแก้โจทย์ใส่ตัวแปรไม่ครบ
9/12/2016 17:24:02,พี่อาร์ม (ฟิสิกส์ม.4-5),ม.5,ก็ดีนะ,4,ปีนึงละมั้ง,3,3,3,ดีแล้วจ้า,เบาไปหน่อย,3,3,พอดี,3,สนิท คุยเล่นได้สบายๆ,กลางๆ ยกตัวอย่างเข้าใจบ้าง ไม่เข้าใจบ้าง อธิบายโอเค,ไม่รู้อะไม่น่ามี
9/12/2016 12:41:00,พี่อาร์ม (ฟิสิกส์ม.4-5),ม.5,เปลี่ยนครูเหอะ,2,ปีนึงละมั้ง,4,2,1,โจทย์ง่ายไป,ดังฟังชัดดี,3,2,สอนช้า,2,ไม่ค่อย,กลางๆ ยกตัวอย่างเข้าใจบ้าง ไม่เข้าใจบ้าง อธิบายโอเค,เนื้อหาไม่แม่น คิดคำนวณผิดบ่อยมากกก เนื้อหาตรงกับที่โรงเรียนไม่มีอะไรนอกเหนือเพิ่มเติมให้เลยยย โจทย์ง่ายเกินไป
9/12/2016 12:46:16,พี่อาร์ม (ฟิสิกส์ม.4-5),ม.4,อยากเรียนต่อมาก,4,เกิน 2 ปีแล้วจ้าา,4,4,4,ดีแล้วจ้า,ดังฟังชัดดี,4,4,สอนเร็ว,4,ไม่ค่อย,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,-
8/27/2016 10:56:18,พี่วิน (คณิตป.5-ม.6),ม.5,ก็ดีนะ,2,นี่เทอมแรก,4,3,3,"โจทย์ง่ายไป, โจทย์น้อยไป",ดังไป,3,3,พอดี,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ชอบนอกเรื่อง
8/27/2016 10:59:18,พี่วิน (คณิตป.5-ม.6),ม.5,ก็ดีนะ,2,นี่เทอมแรก,4,3,3,"โจทย์ง่ายไป, โจทย์น้อยไป",ดังไป,3,3,สอนเร็ว,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,เสียงดังไป
8/27/2016 11:08:08,พี่วิน (คณิตป.5-ม.6),ม.5,ก็ดีนะ,2,นี่เทอมแรก,3,3,4,โจทย์น้อยไป,ดังฟังชัดดี,3,4,พอดี,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ไม่มีอ่ะ
8/27/2016 14:39:24,พี่วิน (คณิตป.5-ม.6),ม.5,ก็ดีนะ,3,ปีนึงละมั้ง,3,3,4,ดีแล้วจ้า,ดังไป,4,4,สอนเร็ว,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,สอนเร็วหน้าเหมือนวูฟเวอรีน
